     INDEX,YYYY/MM/DD,  H: M: S: MS,        RR
       127, 2008/07/29, 14:23:49:020,     0.814
       128, 2008/07/29, 14:23:49:834,     0.796
       129, 2008/07/29, 14:23:50:630,     0.744
       130, 2008/07/29, 14:23:51:374,     0.732
       131, 2008/07/29, 14:23:52:106,     0.728
       132, 2008/07/29, 14:23:52:834,     0.744
       133, 2008/07/29, 14:23:53:578,     0.784
       134, 2008/07/29, 14:23:54:362,     0.826
       135, 2008/07/29, 14:23:55:188,     0.948
       136, 2008/07/29, 14:23:56:136,     0.925
       137, 2008/07/29, 14:23:57:061,     0.850
       138, 2008/07/29, 14:23:57:911,     0.800
       139, 2008/07/29, 14:23:58:711,     0.776
       140, 2008/07/29, 14:23:59:487,     0.732
       141, 2008/07/29, 14:24:00:219,     0.715
       142, 2008/07/29, 14:24:00:934,     0.726
       143, 2008/07/29, 14:24:01:660,     0.759
       144, 2008/07/29, 14:24:02:419,     0.810
       145, 2008/07/29, 14:24:03:229,     0.908
       146, 2008/07/29, 14:24:04:137,     0.945
       147, 2008/07/29, 14:24:05:082,     0.907
       148, 2008/07/29, 14:24:05:989,     0.843
       149, 2008/07/29, 14:24:06:832,     0.808
       150, 2008/07/29, 14:24:07:640,     0.772
