     INDEX,YYYY/MM/DD,  H: M: S: MS,        RR
         1, 2008/07/29, 16:44:59:000,     1.013
         2, 2008/07/29, 16:44:59:615,     0.880
         3, 2008/07/29, 16:45:00:495,     0.892
         4, 2008/07/29, 16:45:01:387,     1.099
         5, 2008/07/29, 16:45:02:486,     1.191
         6, 2008/07/29, 16:45:03:677,     1.045
         7, 2008/07/29, 16:45:04:722,     1.009
         8, 2008/07/29, 16:45:05:731,     1.055
         9, 2008/07/29, 16:45:06:786,     1.120
        10, 2008/07/29, 16:45:07:906,     1.004
        11, 2008/07/29, 16:45:08:910,     0.903
        12, 2008/07/29, 16:45:09:813,     0.992
        13, 2008/07/29, 16:45:10:805,     1.076
        14, 2008/07/29, 16:45:11:881,     1.032
        15, 2008/07/29, 16:45:12:913,     0.910
        16, 2008/07/29, 16:45:13:823,     0.854
        17, 2008/07/29, 16:45:14:677,     0.932
        18, 2008/07/29, 16:45:15:609,     0.965
        19, 2008/07/29, 16:45:16:574,     1.004
        20, 2008/07/29, 16:45:17:578,     1.078
        21, 2008/07/29, 16:45:18:656,     1.102
        22, 2008/07/29, 16:45:19:758,     1.044
        23, 2008/07/29, 16:45:20:802,     0.956
        24, 2008/07/29, 16:45:21:758,     0.951
        25, 2008/07/29, 16:45:22:709,     0.947
        26, 2008/07/29, 16:45:23:656,     0.884
        27, 2008/07/29, 16:45:24:540,     0.901
        28, 2008/07/29, 16:45:25:441,     1.024
        29, 2008/07/29, 16:45:26:465,     1.170
        30, 2008/07/29, 16:45:27:635,     1.215
        31, 2008/07/29, 16:45:28:850,     1.124
        32, 2008/07/29, 16:45:29:974,     0.952
        33, 2008/07/29, 16:45:30:926,     0.845
        34, 2008/07/29, 16:45:31:771,     0.794
        35, 2008/07/29, 16:45:32:565,     0.887
        36, 2008/07/29, 16:45:33:452,     1.091
        37, 2008/07/29, 16:45:34:543,     1.153
        38, 2008/07/29, 16:45:35:696,     1.086
        39, 2008/07/29, 16:45:36:782,     0.919
        40, 2008/07/29, 16:45:37:701,     0.832
        41, 2008/07/29, 16:45:38:533,     0.889
        42, 2008/07/29, 16:45:39:422,     0.903
        43, 2008/07/29, 16:45:40:325,     1.056
        44, 2008/07/29, 16:45:41:381,     1.155
        45, 2008/07/29, 16:45:42:536,     1.142
        46, 2008/07/29, 16:45:43:678,     0.989
        47, 2008/07/29, 16:45:44:667,     0.839
        48, 2008/07/29, 16:45:45:506,     0.820
        49, 2008/07/29, 16:45:46:326,     0.853
        50, 2008/07/29, 16:45:47:179,     1.011
        51, 2008/07/29, 16:45:48:190,     1.101
        52, 2008/07/29, 16:45:49:291,     1.091
        53, 2008/07/29, 16:45:50:382,     1.025
        54, 2008/07/29, 16:45:51:407,     0.868
        55, 2008/07/29, 16:45:52:275,     0.773
        56, 2008/07/29, 16:45:53:048,     0.786
        57, 2008/07/29, 16:45:53:834,     0.839
        58, 2008/07/29, 16:45:54:673,     1.053
        59, 2008/07/29, 16:45:55:726,     1.135
        60, 2008/07/29, 16:45:56:861,     1.059
        61, 2008/07/29, 16:45:57:920,     0.948
        62, 2008/07/29, 16:45:58:868,     0.832
        63, 2008/07/29, 16:45:59:700,     0.766
        64, 2008/07/29, 16:46:00:466,     0.774
        65, 2008/07/29, 16:46:01:240,     1.009
        66, 2008/07/29, 16:46:02:249,     1.204
        67, 2008/07/29, 16:46:03:453,     1.167
        68, 2008/07/29, 16:46:04:620,     1.032
        69, 2008/07/29, 16:46:05:652,     0.908
        70, 2008/07/29, 16:46:06:560,     0.817
        71, 2008/07/29, 16:46:07:377,     0.783
        72, 2008/07/29, 16:46:08:160,     0.786
        73, 2008/07/29, 16:46:08:946,     1.169
        74, 2008/07/29, 16:46:10:115,     1.128
        75, 2008/07/29, 16:46:11:243,     1.122
        76, 2008/07/29, 16:46:12:365,     0.992
        77, 2008/07/29, 16:46:13:357,     0.890
        78, 2008/07/29, 16:46:14:247,     0.837
        79, 2008/07/29, 16:46:15:084,     0.977
        80, 2008/07/29, 16:46:16:061,     1.057
        81, 2008/07/29, 16:46:17:118,     1.112
        82, 2008/07/29, 16:46:18:230,     1.012
