     INDEX,YYYY/MM/DD,  H: M: S: MS,        RR
        83, 2008/07/29, 16:46:19:242,     0.876
        84, 2008/07/29, 16:46:20:118,     0.797
        85, 2008/07/29, 16:46:20:915,     0.817
        86, 2008/07/29, 16:46:21:732,     0.935
        87, 2008/07/29, 16:46:22:667,     1.095
        88, 2008/07/29, 16:46:23:762,     1.127
        89, 2008/07/29, 16:46:24:889,     1.059
        90, 2008/07/29, 16:46:25:948,     0.949
        91, 2008/07/29, 16:46:26:897,     0.840
        92, 2008/07/29, 16:46:27:737,     0.799
        93, 2008/07/29, 16:46:28:536,     0.834
        94, 2008/07/29, 16:46:29:370,     1.027
        95, 2008/07/29, 16:46:30:397,     1.079
        96, 2008/07/29, 16:46:31:476,     1.055
        97, 2008/07/29, 16:46:32:531,     0.941
        98, 2008/07/29, 16:46:33:472,     0.834
        99, 2008/07/29, 16:46:34:306,     0.796
       100, 2008/07/29, 16:46:35:102,     0.809
       101, 2008/07/29, 16:46:35:911,     0.930
       102, 2008/07/29, 16:46:36:841,     1.050
       103, 2008/07/29, 16:46:37:891,     1.051
       104, 2008/07/29, 16:46:38:942,     0.985
       105, 2008/07/29, 16:46:39:927,     0.846
       106, 2008/07/29, 16:46:40:773,     0.789
       107, 2008/07/29, 16:46:41:562,     0.768
       108, 2008/07/29, 16:46:42:330,     0.792
       109, 2008/07/29, 16:46:43:122,     0.869
       110, 2008/07/29, 16:46:43:991,     1.043
       111, 2008/07/29, 16:46:45:034,     1.058
       112, 2008/07/29, 16:46:46:092,     0.968
       113, 2008/07/29, 16:46:47:060,     0.877
       114, 2008/07/29, 16:46:47:937,     0.796
       115, 2008/07/29, 16:46:48:733,     0.763
       116, 2008/07/29, 16:46:49:496,     0.761
       117, 2008/07/29, 16:46:50:257,     0.884
       118, 2008/07/29, 16:46:51:141,     1.032
       119, 2008/07/29, 16:46:52:173,     1.057
       120, 2008/07/29, 16:46:53:230,     1.041
       121, 2008/07/29, 16:46:54:271,     0.930
       122, 2008/07/29, 16:46:55:201,     0.871
       123, 2008/07/29, 16:46:56:072,     0.829
       124, 2008/07/29, 16:46:56:901,     0.908
       125, 2008/07/29, 16:46:57:809,     1.044
       126, 2008/07/29, 16:46:58:853,     1.059
       127, 2008/07/29, 16:46:59:912,     0.971
       128, 2008/07/29, 16:47:00:883,     0.861
       129, 2008/07/29, 16:47:01:744,     0.823
