     INDEX,YYYY/MM/DD,  H: M: S: MS,        RR
         1, 2008/07/29, 16:47:21:000,     0.873
         2, 2008/07/29, 16:47:21:550,     0.957
         3, 2008/07/29, 16:47:22:507,     0.823
         4, 2008/07/29, 16:47:23:330,     0.820
         5, 2008/07/29, 16:47:24:150,     0.903
         6, 2008/07/29, 16:47:25:053,     0.959
         7, 2008/07/29, 16:47:26:012,     0.846
         8, 2008/07/29, 16:47:26:858,     0.787
         9, 2008/07/29, 16:47:27:645,     0.837
        10, 2008/07/29, 16:47:28:482,     0.888
        11, 2008/07/29, 16:47:29:370,     0.886
        12, 2008/07/29, 16:47:30:256,     0.807
        13, 2008/07/29, 16:47:31:063,     0.793
        14, 2008/07/29, 16:47:31:856,     0.843
        15, 2008/07/29, 16:47:32:699,     0.933
        16, 2008/07/29, 16:47:33:632,     0.928
        17, 2008/07/29, 16:47:34:560,     0.828
        18, 2008/07/29, 16:47:35:388,     0.778
        19, 2008/07/29, 16:47:36:166,     0.775
        20, 2008/07/29, 16:47:36:941,     0.851
        21, 2008/07/29, 16:47:37:792,     0.933
        22, 2008/07/29, 16:47:38:725,     0.921
        23, 2008/07/29, 16:47:39:646,     0.842
        24, 2008/07/29, 16:47:40:488,     0.795
        25, 2008/07/29, 16:47:41:283,     0.898
        26, 2008/07/29, 16:47:42:181,     1.035
        27, 2008/07/29, 16:47:43:216,     1.013
        28, 2008/07/29, 16:47:44:229,     0.882
        29, 2008/07/29, 16:47:45:111,     0.866
        30, 2008/07/29, 16:47:45:977,     0.951
        31, 2008/07/29, 16:47:46:928,     1.012
        32, 2008/07/29, 16:47:47:940,     0.943
        33, 2008/07/29, 16:47:48:883,     0.861
        34, 2008/07/29, 16:47:49:744,     0.890
        35, 2008/07/29, 16:47:50:634,     1.005
        36, 2008/07/29, 16:47:51:639,     1.011
        37, 2008/07/29, 16:47:52:650,     0.868
        38, 2008/07/29, 16:47:53:518,     0.839
        39, 2008/07/29, 16:47:54:357,     0.915
        40, 2008/07/29, 16:47:55:272,     1.037
        41, 2008/07/29, 16:47:56:309,     0.993
        42, 2008/07/29, 16:47:57:302,     0.892
        43, 2008/07/29, 16:47:58:194,     0.801
        44, 2008/07/29, 16:47:58:995,     0.801
        45, 2008/07/29, 16:47:59:796,     0.941
        46, 2008/07/29, 16:48:00:737,     1.056
        47, 2008/07/29, 16:48:01:793,     0.996
        48, 2008/07/29, 16:48:02:789,     0.868
        49, 2008/07/29, 16:48:03:657,     0.882
        50, 2008/07/29, 16:48:04:539,     0.945
        51, 2008/07/29, 16:48:05:484,     0.928
        52, 2008/07/29, 16:48:06:412,     0.830
        53, 2008/07/29, 16:48:07:242,     0.788
        54, 2008/07/29, 16:48:08:030,     0.842
        55, 2008/07/29, 16:48:08:872,     0.912
        56, 2008/07/29, 16:48:09:784,     0.937
        57, 2008/07/29, 16:48:10:721,     0.946
        58, 2008/07/29, 16:48:11:667,     0.834
        59, 2008/07/29, 16:48:12:501,     0.857
        60, 2008/07/29, 16:48:13:358,     0.972
        61, 2008/07/29, 16:48:14:330,     0.940
        62, 2008/07/29, 16:48:15:270,     0.972
        63, 2008/07/29, 16:48:16:242,     0.863
        64, 2008/07/29, 16:48:17:105,     0.873
        65, 2008/07/29, 16:48:17:978,     0.940
        66, 2008/07/29, 16:48:18:918,     0.921
        67, 2008/07/29, 16:48:19:839,     1.007
        68, 2008/07/29, 16:48:20:846,     0.944
        69, 2008/07/29, 16:48:21:790,     0.893
        70, 2008/07/29, 16:48:22:683,     0.965
        71, 2008/07/29, 16:48:23:648,     0.997
        72, 2008/07/29, 16:48:24:645,     0.878
        73, 2008/07/29, 16:48:25:523,     0.859
        74, 2008/07/29, 16:48:26:382,     0.944
        75, 2008/07/29, 16:48:27:326,     1.122
        76, 2008/07/29, 16:48:28:448,     1.060
        77, 2008/07/29, 16:48:29:508,     0.956
        78, 2008/07/29, 16:48:30:464,     0.988
        79, 2008/07/29, 16:48:31:452,     1.095
        80, 2008/07/29, 16:48:32:547,     1.064
        81, 2008/07/29, 16:48:33:611,     1.002
        82, 2008/07/29, 16:48:34:613,     0.872
        83, 2008/07/29, 16:48:35:485,     0.867
        84, 2008/07/29, 16:48:36:352,     0.911
        85, 2008/07/29, 16:48:37:263,     0.935
        86, 2008/07/29, 16:48:38:198,     0.962
        87, 2008/07/29, 16:48:39:160,     0.887
        88, 2008/07/29, 16:48:40:047,     0.946
        89, 2008/07/29, 16:48:40:993,     1.127
        90, 2008/07/29, 16:48:42:120,     1.067
        91, 2008/07/29, 16:48:43:187,     0.948
        92, 2008/07/29, 16:48:44:135,     0.938
        93, 2008/07/29, 16:48:45:073,     1.044
        94, 2008/07/29, 16:48:46:117,     1.049
        95, 2008/07/29, 16:48:47:166,     1.010
        96, 2008/07/29, 16:48:48:176,     0.903
        97, 2008/07/29, 16:48:49:079,     0.940
        98, 2008/07/29, 16:48:50:019,     1.016
        99, 2008/07/29, 16:48:51:035,     0.993
       100, 2008/07/29, 16:48:52:028,     0.892
       101, 2008/07/29, 16:48:52:920,     0.893
       102, 2008/07/29, 16:48:53:813,     0.990
       103, 2008/07/29, 16:48:54:803,     1.014
       104, 2008/07/29, 16:48:55:817,     0.895
       105, 2008/07/29, 16:48:56:712,     0.828
       106, 2008/07/29, 16:48:57:540,     0.846
       107, 2008/07/29, 16:48:58:386,     0.893
       108, 2008/07/29, 16:48:59:279,     0.908
       109, 2008/07/29, 16:49:00:187,     0.812
       110, 2008/07/29, 16:49:00:999,     0.787
       111, 2008/07/29, 16:49:01:786,     0.809
       112, 2008/07/29, 16:49:02:595,     0.976
       113, 2008/07/29, 16:49:03:571,     1.008
       114, 2008/07/29, 16:49:04:579,     0.918
       115, 2008/07/29, 16:49:05:497,     0.831
       116, 2008/07/29, 16:49:06:328,     0.858
       117, 2008/07/29, 16:49:07:186,     0.883
       118, 2008/07/29, 16:49:08:069,     0.897
       119, 2008/07/29, 16:49:08:966,     0.799
       120, 2008/07/29, 16:49:09:765,     0.815
       121, 2008/07/29, 16:49:10:580,     0.826
       122, 2008/07/29, 16:49:11:406,     0.856
       123, 2008/07/29, 16:49:12:262,     0.923
       124, 2008/07/29, 16:49:13:185,     0.933
       125, 2008/07/29, 16:49:14:118,     0.826
       126, 2008/07/29, 16:49:14:944,     0.778
       127, 2008/07/29, 16:49:15:722,     0.735
       128, 2008/07/29, 16:49:16:457,     0.761
       129, 2008/07/29, 16:49:17:218,     0.975
       130, 2008/07/29, 16:49:18:193,     1.029
       131, 2008/07/29, 16:49:19:222,     0.985
       132, 2008/07/29, 16:49:20:207,     0.903
       133, 2008/07/29, 16:49:21:110,     0.915
       134, 2008/07/29, 16:49:22:025,     0.915
       135, 2008/07/29, 16:49:22:940,     0.865
       136, 2008/07/29, 16:49:23:805,     0.781
