     INDEX,YYYY/MM/DD,  H: M: S: MS,        RR
         1, 2008/07/29, 14:30:47:000,     0.829
         2, 2008/07/29, 14:30:47:165,     0.807
         3, 2008/07/29, 14:30:47:972,     0.805
         4, 2008/07/29, 14:30:48:777,     0.894
         5, 2008/07/29, 14:30:49:671,     0.905
         6, 2008/07/29, 14:30:50:576,     0.879
         7, 2008/07/29, 14:30:51:455,     0.857
         8, 2008/07/29, 14:30:52:312,     0.830
         9, 2008/07/29, 14:30:53:142,     0.939
        10, 2008/07/29, 14:30:54:081,     0.908
        11, 2008/07/29, 14:30:54:989,     0.825
        12, 2008/07/29, 14:30:55:814,     0.772
        13, 2008/07/29, 14:30:56:586,     0.736
        14, 2008/07/29, 14:30:57:322,     0.777
        15, 2008/07/29, 14:30:58:099,     0.839
        16, 2008/07/29, 14:30:58:938,     0.822
        17, 2008/07/29, 14:30:59:760,     0.783
        18, 2008/07/29, 14:31:00:543,     0.801
        19, 2008/07/29, 14:31:01:344,     0.840
        20, 2008/07/29, 14:31:02:184,     0.877
        21, 2008/07/29, 14:31:03:061,     0.876
        22, 2008/07/29, 14:31:03:937,     0.800
        23, 2008/07/29, 14:31:04:737,     0.757
        24, 2008/07/29, 14:31:05:494,     0.735
        25, 2008/07/29, 14:31:06:229,     0.748
        26, 2008/07/29, 14:31:06:977,     0.764
        27, 2008/07/29, 14:31:07:741,     0.754
        28, 2008/07/29, 14:31:08:495,     0.739
        29, 2008/07/29, 14:31:09:234,     0.744
        30, 2008/07/29, 14:31:09:978,     0.754
        31, 2008/07/29, 14:31:10:732,     0.854
        32, 2008/07/29, 14:31:11:586,     0.889
        33, 2008/07/29, 14:31:12:475,     0.843
        34, 2008/07/29, 14:31:13:318,     0.770
        35, 2008/07/29, 14:31:14:088,     0.755
        36, 2008/07/29, 14:31:14:843,     0.737
        37, 2008/07/29, 14:31:15:580,     0.733
        38, 2008/07/29, 14:31:16:313,     0.742
        39, 2008/07/29, 14:31:17:055,     0.718
        40, 2008/07/29, 14:31:17:773,     0.708
        41, 2008/07/29, 14:31:18:481,     0.708
        42, 2008/07/29, 14:31:19:189,     0.751
        43, 2008/07/29, 14:31:19:940,     0.819
        44, 2008/07/29, 14:31:20:759,     0.871
        45, 2008/07/29, 14:31:21:630,     0.807
        46, 2008/07/29, 14:31:22:437,     0.748
        47, 2008/07/29, 14:31:23:185,     0.730
        48, 2008/07/29, 14:31:23:915,     0.755
        49, 2008/07/29, 14:31:24:670,     0.779
        50, 2008/07/29, 14:31:25:449,     0.769
        51, 2008/07/29, 14:31:26:218,     0.722
        52, 2008/07/29, 14:31:26:940,     0.710
        53, 2008/07/29, 14:31:27:650,     0.709
        54, 2008/07/29, 14:31:28:359,     0.727
        55, 2008/07/29, 14:31:29:086,     0.764
        56, 2008/07/29, 14:31:29:850,     0.793
        57, 2008/07/29, 14:31:30:643,     0.747
        58, 2008/07/29, 14:31:31:390,     0.725
        59, 2008/07/29, 14:31:32:115,     0.713
        60, 2008/07/29, 14:31:32:828,     0.730
        61, 2008/07/29, 14:31:33:558,     0.762
        62, 2008/07/29, 14:31:34:320,     0.763
        63, 2008/07/29, 14:31:35:083,     0.720
        64, 2008/07/29, 14:31:35:803,     0.715
        65, 2008/07/29, 14:31:36:518,     0.709
        66, 2008/07/29, 14:31:37:227,     0.713
        67, 2008/07/29, 14:31:37:940,     0.724
        68, 2008/07/29, 14:31:38:664,     0.734
        69, 2008/07/29, 14:31:39:398,     0.706
        70, 2008/07/29, 14:31:40:104,     0.695
        71, 2008/07/29, 14:31:40:799,     0.703
