     INDEX,YYYY/MM/DD,  H: M: S: MS,        RR
        72, 2008/07/29, 14:31:41:502,     0.718
        73, 2008/07/29, 14:31:42:220,     0.762
        74, 2008/07/29, 14:31:42:982,     0.772
        75, 2008/07/29, 14:31:43:754,     0.768
        76, 2008/07/29, 14:31:44:522,     0.714
        77, 2008/07/29, 14:31:45:236,     0.708
        78, 2008/07/29, 14:31:45:944,     0.701
        79, 2008/07/29, 14:31:46:645,     0.715
        80, 2008/07/29, 14:31:47:360,     0.743
        81, 2008/07/29, 14:31:48:103,     0.737
        82, 2008/07/29, 14:31:48:840,     0.711
        83, 2008/07/29, 14:31:49:551,     0.695
        84, 2008/07/29, 14:31:50:246,     0.684
        85, 2008/07/29, 14:31:50:930,     0.701
        86, 2008/07/29, 14:31:51:631,     0.708
        87, 2008/07/29, 14:31:52:339,     0.711
        88, 2008/07/29, 14:31:53:050,     0.696
        89, 2008/07/29, 14:31:53:746,     0.690
        90, 2008/07/29, 14:31:54:436,     0.694
        91, 2008/07/29, 14:31:55:130,     0.710
        92, 2008/07/29, 14:31:55:840,     0.735
        93, 2008/07/29, 14:31:56:575,     0.748
        94, 2008/07/29, 14:31:57:323,     0.736
        95, 2008/07/29, 14:31:58:059,     0.717
        96, 2008/07/29, 14:31:58:776,     0.706
        97, 2008/07/29, 14:31:59:482,     0.690
        98, 2008/07/29, 14:32:00:172,     0.699
        99, 2008/07/29, 14:32:00:871,     0.731
       100, 2008/07/29, 14:32:01:602,     0.734
       101, 2008/07/29, 14:32:02:336,     0.702
       102, 2008/07/29, 14:32:03:038,     0.713
       103, 2008/07/29, 14:32:03:751,     0.714
       104, 2008/07/29, 14:32:04:465,     0.728
       105, 2008/07/29, 14:32:05:193,     0.732
       106, 2008/07/29, 14:32:05:925,     0.727
       107, 2008/07/29, 14:32:06:652,     0.688
       108, 2008/07/29, 14:32:07:340,     0.681
       109, 2008/07/29, 14:32:08:021,     0.686
       110, 2008/07/29, 14:32:08:707,     0.689
       111, 2008/07/29, 14:32:09:396,     0.712
       112, 2008/07/29, 14:32:10:108,     0.743
       113, 2008/07/29, 14:32:10:851,     0.729
       114, 2008/07/29, 14:32:11:580,     0.733
       115, 2008/07/29, 14:32:12:313,     0.745
       116, 2008/07/29, 14:32:13:058,     0.764
       117, 2008/07/29, 14:32:13:822,     0.799
       118, 2008/07/29, 14:32:14:621,     0.830
       119, 2008/07/29, 14:32:15:451,     0.777
       120, 2008/07/29, 14:32:16:228,     0.743
       121, 2008/07/29, 14:32:16:971,     0.727
       122, 2008/07/29, 14:32:17:698,     0.713
       123, 2008/07/29, 14:32:18:411,     0.730
       124, 2008/07/29, 14:32:19:141,     0.771
       125, 2008/07/29, 14:32:19:912,     0.756
       126, 2008/07/29, 14:32:20:668,     0.739
       127, 2008/07/29, 14:32:21:407,     0.747
       128, 2008/07/29, 14:32:22:154,     0.773
       129, 2008/07/29, 14:32:22:927,     0.800
       130, 2008/07/29, 14:32:23:727,     0.813
       131, 2008/07/29, 14:32:24:540,     0.756
       132, 2008/07/29, 14:32:25:296,     0.742
       133, 2008/07/29, 14:32:26:038,     0.727
       134, 2008/07/29, 14:32:26:765,     0.731
       135, 2008/07/29, 14:32:27:496,     0.755
       136, 2008/07/29, 14:32:28:251,     0.749
       137, 2008/07/29, 14:32:29:000,     0.722
       138, 2008/07/29, 14:32:29:722,     0.706
       139, 2008/07/29, 14:32:30:428,     0.700
       140, 2008/07/29, 14:32:31:128,     0.710
       141, 2008/07/29, 14:32:31:838,     0.748
       142, 2008/07/29, 14:32:32:586,     0.768
       143, 2008/07/29, 14:32:33:354,     0.740
       144, 2008/07/29, 14:32:34:094,     0.722
       145, 2008/07/29, 14:32:34:816,     0.711
       146, 2008/07/29, 14:32:35:527,     0.708
       147, 2008/07/29, 14:32:36:235,     0.722
       148, 2008/07/29, 14:32:36:957,     0.730
       149, 2008/07/29, 14:32:37:687,     0.730
       150, 2008/07/29, 14:32:38:417,     0.696
       151, 2008/07/29, 14:32:39:113,     0.697
       152, 2008/07/29, 14:32:39:810,     0.694
       153, 2008/07/29, 14:32:40:504,     0.706
       154, 2008/07/29, 14:32:41:210,     0.722
       155, 2008/07/29, 14:32:41:932,     0.745
       156, 2008/07/29, 14:32:42:677,     0.732
       157, 2008/07/29, 14:32:43:409,     0.733
       158, 2008/07/29, 14:32:44:142,     0.774
       159, 2008/07/29, 14:32:44:916,     0.824
       160, 2008/07/29, 14:32:45:740,     0.828
       161, 2008/07/29, 14:32:46:568,     0.787
       162, 2008/07/29, 14:32:47:355,     0.769
       163, 2008/07/29, 14:32:48:124,     0.720
       164, 2008/07/29, 14:32:48:844,     0.699
       165, 2008/07/29, 14:32:49:543,     0.697
