     INDEX,YYYY/MM/DD,  H: M: S: MS,        RR
       127, 2008/07/29, 16:37:50:962,     0.624
       128, 2008/07/29, 16:37:51:586,     0.676
       129, 2008/07/29, 16:37:52:262,     0.686
       130, 2008/07/29, 16:37:52:948,     0.700
       131, 2008/07/29, 16:37:53:648,     0.704
       132, 2008/07/29, 16:37:54:352,     0.716
       133, 2008/07/29, 16:37:55:068,     0.736
       134, 2008/07/29, 16:37:55:804,     0.750
       135, 2008/07/29, 16:37:56:554,     0.756
       136, 2008/07/29, 16:37:57:310,     0.727
       137, 2008/07/29, 16:37:58:037,     0.733
       138, 2008/07/29, 16:37:58:770,     0.729
       139, 2008/07/29, 16:37:59:499,     0.742
       140, 2008/07/29, 16:38:00:241,     0.750
       141, 2008/07/29, 16:38:00:991,     0.758
       142, 2008/07/29, 16:38:01:749,     0.749
       143, 2008/07/29, 16:38:02:498,     0.748
       144, 2008/07/29, 16:38:03:246,     0.746
       145, 2008/07/29, 16:38:03:992,     0.752
       146, 2008/07/29, 16:38:04:744,     0.749
       147, 2008/07/29, 16:38:05:493,     0.736
       148, 2008/07/29, 16:38:06:229,     0.711
       149, 2008/07/29, 16:38:06:940,     0.700
       150, 2008/07/29, 16:38:07:640,     0.705
       151, 2008/07/29, 16:38:08:345,     0.700
       152, 2008/07/29, 16:38:09:045,     0.696
       153, 2008/07/29, 16:38:09:741,     0.678
       154, 2008/07/29, 16:38:10:419,     0.656
       155, 2008/07/29, 16:38:11:075,     0.648
       156, 2008/07/29, 16:38:11:723,     0.646
       157, 2008/07/29, 16:38:12:369,     0.652
       158, 2008/07/29, 16:38:13:021,     0.679
       159, 2008/07/29, 16:38:13:700,     0.699
       160, 2008/07/29, 16:38:14:399,     0.712
       161, 2008/07/29, 16:38:15:111,     0.718
       162, 2008/07/29, 16:38:15:829,     0.736
       163, 2008/07/29, 16:38:16:565,     0.746
       164, 2008/07/29, 16:38:17:311,     0.755
       165, 2008/07/29, 16:38:18:066,     0.733
       166, 2008/07/29, 16:38:18:799,     0.709
       167, 2008/07/29, 16:38:19:508,     0.682
       168, 2008/07/29, 16:38:20:190,     0.666
       169, 2008/07/29, 16:38:20:856,     0.659
       170, 2008/07/29, 16:38:21:515,     0.653
       171, 2008/07/29, 16:38:22:168,     0.642
       172, 2008/07/29, 16:38:22:810,     0.640
       173, 2008/07/29, 16:38:23:450,     0.640
       174, 2008/07/29, 16:38:24:090,     0.657
       175, 2008/07/29, 16:38:24:747,     0.665
       176, 2008/07/29, 16:38:25:412,     0.691
       177, 2008/07/29, 16:38:26:103,     0.703
       178, 2008/07/29, 16:38:26:806,     0.702
