     INDEX,YYYY/MM/DD,  H: M: S: MS,        RR
         1, 2008/07/29, 16:39:00:000,     1.055
         2, 2008/07/29, 16:39:00:577,     0.989
         3, 2008/07/29, 16:39:01:566,     1.040
         4, 2008/07/29, 16:39:02:606,     1.018
         5, 2008/07/29, 16:39:03:624,     0.969
         6, 2008/07/29, 16:39:04:593,     0.928
         7, 2008/07/29, 16:39:05:521,     1.014
         8, 2008/07/29, 16:39:06:535,     1.146
         9, 2008/07/29, 16:39:07:681,     1.050
        10, 2008/07/29, 16:39:08:731,     1.041
        11, 2008/07/29, 16:39:09:772,     1.113
        12, 2008/07/29, 16:39:10:885,     1.040
        13, 2008/07/29, 16:39:11:925,     0.943
        14, 2008/07/29, 16:39:12:868,     0.935
        15, 2008/07/29, 16:39:13:803,     1.043
        16, 2008/07/29, 16:39:14:846,     1.024
        17, 2008/07/29, 16:39:15:870,     1.096
        18, 2008/07/29, 16:39:16:966,     1.123
        19, 2008/07/29, 16:39:18:089,     0.993
        20, 2008/07/29, 16:39:19:082,     1.098
        21, 2008/07/29, 16:39:20:180,     1.053
        22, 2008/07/29, 16:39:21:233,     0.983
        23, 2008/07/29, 16:39:22:216,     1.116
        24, 2008/07/29, 16:39:23:332,     1.028
        25, 2008/07/29, 16:39:24:360,     1.065
        26, 2008/07/29, 16:39:25:425,     1.120
        27, 2008/07/29, 16:39:26:545,     1.012
        28, 2008/07/29, 16:39:27:557,     1.105
        29, 2008/07/29, 16:39:28:662,     1.111
        30, 2008/07/29, 16:39:29:773,     1.069
        31, 2008/07/29, 16:39:30:842,     1.122
        32, 2008/07/29, 16:39:31:964,     0.988
        33, 2008/07/29, 16:39:32:952,     1.106
        34, 2008/07/29, 16:39:34:058,     1.206
        35, 2008/07/29, 16:39:35:264,     1.041
        36, 2008/07/29, 16:39:36:305,     1.190
        37, 2008/07/29, 16:39:37:495,     1.124
        38, 2008/07/29, 16:39:38:619,     1.066
        39, 2008/07/29, 16:39:39:685,     1.161
        40, 2008/07/29, 16:39:40:846,     1.051
        41, 2008/07/29, 16:39:41:897,     1.119
        42, 2008/07/29, 16:39:43:016,     1.136
        43, 2008/07/29, 16:39:44:152,     1.012
        44, 2008/07/29, 16:39:45:164,     1.235
        45, 2008/07/29, 16:39:46:399,     1.156
        46, 2008/07/29, 16:39:47:555,     1.055
        47, 2008/07/29, 16:39:48:610,     1.160
        48, 2008/07/29, 16:39:49:770,     1.056
        49, 2008/07/29, 16:39:50:826,     1.123
        50, 2008/07/29, 16:39:51:949,     1.056
        51, 2008/07/29, 16:39:53:005,     0.992
        52, 2008/07/29, 16:39:53:997,     1.255
        53, 2008/07/29, 16:39:55:252,     1.188
        54, 2008/07/29, 16:39:56:440,     1.093
        55, 2008/07/29, 16:39:57:533,     1.256
        56, 2008/07/29, 16:39:58:789,     1.146
        57, 2008/07/29, 16:39:59:935,     1.106
        58, 2008/07/29, 16:40:01:041,     1.179
        59, 2008/07/29, 16:40:02:220,     1.064
        60, 2008/07/29, 16:40:03:284,     1.132
        61, 2008/07/29, 16:40:04:416,     1.180
        62, 2008/07/29, 16:40:05:596,     1.026
        63, 2008/07/29, 16:40:06:622,     1.093
        64, 2008/07/29, 16:40:07:715,     1.213
        65, 2008/07/29, 16:40:08:928,     1.017
        66, 2008/07/29, 16:40:09:945,     1.161
        67, 2008/07/29, 16:40:11:106,     1.137
        68, 2008/07/29, 16:40:12:243,     1.083
        69, 2008/07/29, 16:40:13:326,     1.188
        70, 2008/07/29, 16:40:14:514,     1.109
        71, 2008/07/29, 16:40:15:623,     1.074
        72, 2008/07/29, 16:40:16:697,     1.130
        73, 2008/07/29, 16:40:17:827,     0.989
        74, 2008/07/29, 16:40:18:816,     1.060
        75, 2008/07/29, 16:40:19:876,     1.172
        76, 2008/07/29, 16:40:21:048,     1.057
        77, 2008/07/29, 16:40:22:105,     1.147
        78, 2008/07/29, 16:40:23:252,     1.174
        79, 2008/07/29, 16:40:24:426,     1.084
        80, 2008/07/29, 16:40:25:510,     1.160
        81, 2008/07/29, 16:40:26:670,     1.114
        82, 2008/07/29, 16:40:27:784,     1.028
        83, 2008/07/29, 16:40:28:812,     1.121
        84, 2008/07/29, 16:40:29:933,     1.085
        85, 2008/07/29, 16:40:31:018,     1.023
        86, 2008/07/29, 16:40:32:041,     1.149
        87, 2008/07/29, 16:40:33:190,     1.042
        88, 2008/07/29, 16:40:34:232,     1.111
        89, 2008/07/29, 16:40:35:343,     1.144
        90, 2008/07/29, 16:40:36:487,     1.050
        91, 2008/07/29, 16:40:37:537,     1.197
        92, 2008/07/29, 16:40:38:734,     1.107
        93, 2008/07/29, 16:40:39:841,     1.089
        94, 2008/07/29, 16:40:40:930,     1.185
        95, 2008/07/29, 16:40:42:115,     1.077
        96, 2008/07/29, 16:40:43:192,     1.209
        97, 2008/07/29, 16:40:44:401,     1.189
        98, 2008/07/29, 16:40:45:590,     1.120
        99, 2008/07/29, 16:40:46:710,     1.241
       100, 2008/07/29, 16:40:47:951,     1.153
       101, 2008/07/29, 16:40:49:104,     1.194
       102, 2008/07/29, 16:40:50:298,     1.218
       103, 2008/07/29, 16:40:51:516,     1.089
       104, 2008/07/29, 16:40:52:605,     1.244
       105, 2008/07/29, 16:40:53:849,     1.191
       106, 2008/07/29, 16:40:55:040,     1.129
       107, 2008/07/29, 16:40:56:169,     1.260
       108, 2008/07/29, 16:40:57:429,     1.129
       109, 2008/07/29, 16:40:58:558,     0.929
       110, 2008/07/29, 16:40:59:487,     0.979
