     INDEX,YYYY/MM/DD,  H: M: S: MS,        RR
       127, 2008/07/29, 16:33:11:639,     1.008
       128, 2008/07/29, 16:33:12:647,     1.009
       129, 2008/07/29, 16:33:13:656,     0.900
       130, 2008/07/29, 16:33:14:556,     0.976
       131, 2008/07/29, 16:33:15:532,     1.088
       132, 2008/07/29, 16:33:16:620,     1.060
       133, 2008/07/29, 16:33:17:680,     1.068
       134, 2008/07/29, 16:33:18:748,     1.075
       135, 2008/07/29, 16:33:19:823,     0.979
       136, 2008/07/29, 16:33:20:802,     0.992
       137, 2008/07/29, 16:33:21:794,     1.069
       138, 2008/07/29, 16:33:22:863,     1.038
       139, 2008/07/29, 16:33:23:901,     0.965
       140, 2008/07/29, 16:33:24:866,     1.000
       141, 2008/07/29, 16:33:25:866,     1.011
       142, 2008/07/29, 16:33:26:877,     0.935
       143, 2008/07/29, 16:33:27:812,     1.012
       144, 2008/07/29, 16:33:28:824,     1.055
       145, 2008/07/29, 16:33:29:879,     1.006
       146, 2008/07/29, 16:33:30:885,     1.017
       147, 2008/07/29, 16:33:31:902,     1.039
       148, 2008/07/29, 16:33:32:941,     0.983
       149, 2008/07/29, 16:33:33:924,     0.966
       150, 2008/07/29, 16:33:34:890,     1.015
       151, 2008/07/29, 16:33:35:905,     0.969
       152, 2008/07/29, 16:33:36:874,     0.939
       153, 2008/07/29, 16:33:37:813,     0.977
       154, 2008/07/29, 16:33:38:790,     0.946
       155, 2008/07/29, 16:33:39:736,     0.924
       156, 2008/07/29, 16:33:40:660,     1.010
       157, 2008/07/29, 16:33:41:670,     1.026
       158, 2008/07/29, 16:33:42:696,     0.946
       159, 2008/07/29, 16:33:43:642,     0.982
       160, 2008/07/29, 16:33:44:624,     0.982
       161, 2008/07/29, 16:33:45:606,     0.905
       162, 2008/07/29, 16:33:46:511,     0.959
       163, 2008/07/29, 16:33:47:470,     1.031
       164, 2008/07/29, 16:33:48:501,     0.940
       165, 2008/07/29, 16:33:49:441,     0.935
       166, 2008/07/29, 16:33:50:376,     0.966
       167, 2008/07/29, 16:33:51:342,     0.909
       168, 2008/07/29, 16:33:52:251,     0.889
       169, 2008/07/29, 16:33:53:140,     0.957
       170, 2008/07/29, 16:33:54:097,     0.998
       171, 2008/07/29, 16:33:55:095,     0.904
       172, 2008/07/29, 16:33:55:999,     0.916
       173, 2008/07/29, 16:33:56:915,     0.967
       174, 2008/07/29, 16:33:57:882,     0.976
       175, 2008/07/29, 16:33:58:858,     0.890
       176, 2008/07/29, 16:33:59:748,     0.929
       177, 2008/07/29, 16:34:00:677,     0.920
       178, 2008/07/29, 16:34:01:597,     0.865
       179, 2008/07/29, 16:34:02:462,     0.912
       180, 2008/07/29, 16:34:03:374,     1.068
       181, 2008/07/29, 16:34:04:442,     1.043
       182, 2008/07/29, 16:34:05:485,     0.984
       183, 2008/07/29, 16:34:06:469,     1.085
       184, 2008/07/29, 16:34:07:554,     1.057
       185, 2008/07/29, 16:34:08:611,     0.976
       186, 2008/07/29, 16:34:09:587,     1.001
       187, 2008/07/29, 16:34:10:588,     0.982
       188, 2008/07/29, 16:34:11:570,     0.903
       189, 2008/07/29, 16:34:12:473,     0.968
       190, 2008/07/29, 16:34:13:441,     0.947
       191, 2008/07/29, 16:34:14:388,     0.876
       192, 2008/07/29, 16:34:15:264,     0.914
       193, 2008/07/29, 16:34:16:178,     0.827
       194, 2008/07/29, 16:34:17:005,     0.818
       195, 2008/07/29, 16:34:17:823,     0.895
       196, 2008/07/29, 16:34:18:718,     0.849
       197, 2008/07/29, 16:34:19:567,     0.929
       198, 2008/07/29, 16:34:20:496,     1.017
       199, 2008/07/29, 16:34:21:513,     0.909
       200, 2008/07/29, 16:34:22:422,     0.987
       201, 2008/07/29, 16:34:23:409,     1.040
       202, 2008/07/29, 16:34:24:449,     0.931
       203, 2008/07/29, 16:34:25:380,     0.954
       204, 2008/07/29, 16:34:26:334,     0.977
       205, 2008/07/29, 16:34:27:311,     0.932
       206, 2008/07/29, 16:34:28:243,     0.908
       207, 2008/07/29, 16:34:29:151,     0.942
       208, 2008/07/29, 16:34:30:093,     0.992
       209, 2008/07/29, 16:34:31:085,     0.865
       210, 2008/07/29, 16:34:31:950,     0.921
       211, 2008/07/29, 16:34:32:871,     1.014
       212, 2008/07/29, 16:34:33:885,     1.016
       213, 2008/07/29, 16:34:34:901,     1.005
       214, 2008/07/29, 16:34:35:906,     1.100
